city,date,conditions
"Atlanta, GA",2019-05-22,Partially cloudy
"Columbus, OH",2018-09-10,"Rain, Overcast"
"Austin, TX",2019-12-08,Clear
"New York, NY",2018-12-20,Rain
"New York, NY",2019-06-26,Rain
"Asheville, NC",2018-11-14,"Rain, Partially cloudy"
"Austin, TX",2019-08-16,Clear
"Nashville, TN",2019-10-17,Clear
"Kona, HI",2018-08-27,"Rain, Partially cloudy"
"Missoula, MT",2018-10-30,Overcast
"Kansas City, MO",2019-04-16,Clear
"Seattle, WA",2019-03-07,"Snow, Partially cloudy"
"Los Angeles, CA",2018-03-16,"Rain, Overcast"
"Chicago, IL",2019-08-26,"Rain, Overcast"
"Newark, NJ",2018-11-14,Partially cloudy
"Islip, NY",2019-02-05,Partially cloudy
"Reno, NV",2019-12-23,"Rain, Partially cloudy"
"New York, NY",2019-03-01,"Snow, Partially cloudy"
"Rhinelander, WI",2018-12-20,Overcast
"Omaha, NE",2018-10-26,"Rain, Overcast"
"Houston, TX",2018-11-24,Partially cloudy
"Minneapolis, MN",2018-11-07,"Snow, Overcast"
"Honolulu, HI",2019-05-23,"Rain, Partially cloudy"
"Hartford, CT",2018-06-25,Partially cloudy
"New York, NY",2018-10-26,Clear
"Houston, TX",2019-09-09,Clear
"San Antonio, TX",2018-01-22,Clear
"San Francisco, CA",2019-07-24,Clear
"Newark, NJ",2018-12-06,Partially cloudy
"Denver, CO",2018-11-05,Partially cloudy
"Phoenix, AZ",2018-06-01,Clear
"Fayetteville, AR",2018-11-03,Clear
"Houston, TX",2019-10-27,Clear
"Charlotte, NC",2019-11-19,Partially cloudy
"Charlotte, NC",2018-08-05,"Rain, Partially cloudy"
"Orlando, FL",2018-07-23,"Rain, Partially cloudy"
"Fargo, ND",2018-05-24,Clear
"Reno, NV",2019-08-28,Partially cloudy
"San Antonio, TX",2018-05-03,Overcast
"Salt Lake City, UT",2018-08-06,Clear
"Minneapolis, MN",2018-06-30,"Rain, Partially cloudy"
"Charlotte, NC",2018-03-09,Partially cloudy
"Nashville, TN",2018-09-02,Partially cloudy
"Knoxville, TN",2018-07-08,Partially cloudy
"Traverse City, MI",2019-08-06,"Rain, Partially cloudy"
"Chicago, IL",2019-01-08,Overcast
"Lanai, HI",2019-02-05,Rain
"White Plains, NY",2019-10-23,"Rain, Partially cloudy"
"San Francisco, CA",2019-10-17,Partially cloudy
"San Francisco, CA",2018-03-06,Partially cloudy
"Lihue, HI",2018-04-17,"Rain, Partially cloudy"
"Houston, TX",2018-08-23,Partially cloudy
"Chicago, IL",2018-09-11,Clear
"Washington, DC",2018-12-03,Partially cloudy
"Wilmington, NC",2018-11-20,Partially cloudy
"Rochester, MN",2018-06-16,Rain
"Chicago, IL",2018-12-11,Partially cloudy
"Denver, CO",2018-07-23,"Rain, Overcast"
"Seattle, WA",2018-05-21,Partially cloudy
"Dallas/Fort Worth, TX",2018-08-09,"Rain, Partially cloudy"
"Los Angeles, CA",2019-04-17,Clear
"New York, NY",2019-11-27,"Rain, Partially cloudy"
"Dallas/Fort Worth, TX",2018-01-31,Clear
"Lafayette, LA",2019-09-19,Partially cloudy
"Charlotte, NC",2018-07-13,"Rain, Overcast"
"Las Vegas, NV",2019-10-01,Clear
"Charlotte, NC",2018-01-01,Partially cloudy
"Denver, CO",2019-02-25,Partially cloudy
"Minneapolis, MN",2019-10-30,Partially cloudy
"Dallas/Fort Worth, TX",2018-06-13,Partially cloudy
"Denver, CO",2018-02-28,Partially cloudy
"Portland, OR",2018-12-31,Partially cloudy
"Detroit, MI",2018-05-02,"Rain, Partially cloudy"
"Roanoke, VA",2019-12-25,Clear
"Minneapolis, MN",2019-03-22,Clear
"Atlanta, GA",2019-01-31,Clear
"Denver, CO",2019-07-19,Partially cloudy
"Denver, CO",2018-10-11,"Rain, Overcast"
"Denver, CO",2019-11-04,Partially cloudy
"Las Vegas, NV",2019-11-08,Clear
"Columbia, SC",2018-10-08,"Rain, Partially cloudy"
"Washington, DC",2019-02-08,Partially cloudy
"Detroit, MI",2019-02-28,"Snow, Partially cloudy"
"Newark, NJ",2018-03-15,Partially cloudy
"Washington, DC",2019-12-22,Partially cloudy
"Newark, NJ",2018-01-07,Partially cloudy
"San Diego, CA",2019-04-02,Partially cloudy
"Washington, DC",2019-03-25,Partially cloudy
"Denver, CO",2019-05-19,"Rain, Overcast"
"Dallas/Fort Worth, TX",2018-10-16,"Rain, Overcast"
"Oakland, CA",2018-08-08,Partially cloudy
"Salt Lake City, UT",2018-12-29,Overcast
"Chattanooga, TN",2019-01-06,Partially cloudy
"Fort Wayne, IN",2019-02-06,"Rain, Overcast"
"Los Angeles, CA",2018-09-24,Partially cloudy
"Saginaw/Bay City/Midland, MI",2018-05-17,Clear
"New Orleans, LA",2018-04-24,Partially cloudy
"Charlotte, NC",2019-01-11,Clear
"Houston, TX",2019-12-20,"Rain, Partially cloudy"
"Los Angeles, CA",2018-02-24,Clear
"Eugene, OR",2018-08-22,Partially cloudy
"Phoenix, AZ",2018-11-21,Partially cloudy
"Houston, TX",2018-02-17,"Rain, Overcast"
"Salt Lake City, UT",2019-06-04,Partially cloudy
"Las Vegas, NV",2019-04-07,Clear
"Cleveland, OH",2018-11-28,Overcast
"San Francisco, CA",2019-03-25,"Rain, Partially cloudy"
"Abilene, TX",2019-07-11,Clear
"Reno, NV",2019-08-13,Clear
"Des Moines, IA",2018-12-02,"Snow, Overcast"
"Newark, NJ",2019-02-13,"Snow, Partially cloudy"
"Chattanooga, TN",2019-11-07,"Rain, Partially cloudy"
"Phoenix, AZ",2018-11-19,Partially cloudy
"Oklahoma City, OK",2018-12-23,"Rain, Partially cloudy"
"Greenville, NC",2018-06-16,Clear
"Houston, TX",2019-04-14,Clear
"Los Angeles, CA",2018-06-13,Clear
"Jacksonville, FL",2019-03-02,"Rain, Partially cloudy"
