city,date,conditions
"Buffalo, NY",2018-12-17,Overcast
"Los Angeles, CA",2018-05-15,Clear
"Albuquerque, NM",2019-09-08,Partially cloudy
"Minneapolis, MN",2019-07-07,Partially cloudy
"Los Angeles, CA",2019-03-14,Clear
"Chicago, IL",2019-02-14,Partially cloudy
"Las Vegas, NV",2018-11-10,Clear
"Raleigh/Durham, NC",2018-03-01,"Rain, Overcast"
"Houston, TX",2018-08-30,Partially cloudy
"Rochester, NY",2019-04-24,Partially cloudy
"Philadelphia, PA",2018-08-10,Partially cloudy
"Buffalo, NY",2019-09-26,"Rain, Partially cloudy"
"Denver, CO",2018-03-23,Partially cloudy
"Reno, NV",2018-02-20,"Snow, Partially cloudy"
"Bozeman, MT",2018-12-28,"Snow, Overcast"
"Phoenix, AZ",2018-01-11,Clear
"Burlington, VT",2019-10-01,"Rain, Overcast"
"Jackson/Vicksburg, MS",2018-04-07,"Rain, Overcast"
"Minneapolis, MN",2019-12-05,Partially cloudy
"Las Vegas, NV",2018-11-07,Clear
"Charlotte, NC",2019-06-18,"Rain, Partially cloudy"
"Salt Lake City, UT",2018-07-18,Partially cloudy
"Cleveland, OH",2018-02-24,"Rain, Overcast"
"Seattle, WA",2018-10-08,"Rain, Overcast"
"Los Angeles, CA",2019-11-05,Clear
"Los Angeles, CA",2019-05-26,"Rain, Overcast"
"Dallas, TX",2019-10-25,"Rain, Overcast"
"San Francisco, CA",2018-05-21,Partially cloudy
"Dallas/Fort Worth, TX",2018-05-18,"Rain, Partially cloudy"
"Pittsburgh, PA",2019-03-07,Partially cloudy
"Houston, TX",2019-12-16,"Rain, Partially cloudy"
"Des Moines, IA",2018-07-08,Clear
"Chicago, IL",2019-05-25,Partially cloudy
"Birmingham, AL",2019-04-21,Clear
"Las Vegas, NV",2018-06-30,Clear
"New York, NY",2018-07-24,"Rain, Overcast"
"Boston, MA",2019-11-11,Overcast
"Newark, NJ",2018-11-13,"Rain, Overcast"
"Ontario, CA",2018-09-25,Partially cloudy
"Kahului, HI",2018-06-17,Partially cloudy
"Grand Rapids, MI",2019-11-12,"Snow, Overcast"
"Ontario, CA",2019-12-20,Partially cloudy
"Seattle, WA",2019-04-17,Overcast
"Bend/Redmond, OR",2018-11-08,Clear
"St. Louis, MO",2018-12-18,Clear
"Denver, CO",2019-06-22,"Rain, Partially cloudy"
"Raleigh/Durham, NC",2019-10-07,Partially cloudy
"San Diego, CA",2018-01-02,Partially cloudy
"Cincinnati, OH",2019-02-06,"Rain, Partially cloudy"
"Portland, OR",2018-01-22,"Rain, Overcast"
"Boise, ID",2019-04-12,Partially cloudy
"Chicago, IL",2018-03-20,Overcast
"Spokane, WA",2019-10-22,"Rain, Partially cloudy"
"San Diego, CA",2019-01-01,Clear
"Sarasota/Bradenton, FL",2019-12-26,Partially cloudy
"Jacksonville, FL",2018-04-04,Partially cloudy
"Salt Lake City, UT",2018-02-03,Overcast
"Sanford, FL",2018-07-08,"Rain, Partially cloudy"
"Spokane, WA",2018-09-26,Clear
"Fort Wayne, IN",2019-03-07,Partially cloudy
"Orlando, FL",2018-12-23,Clear
"Austin, TX",2019-03-03,Overcast
"Rochester, NY",2018-08-19,Overcast
"Washington, DC",2018-08-27,Partially cloudy
"Charlotte, NC",2018-04-30,Clear
"Dallas, TX",2019-08-06,Partially cloudy
"Minneapolis, MN",2019-05-06,Partially cloudy
"Portland, OR",2019-07-20,Clear
"Casper, WY",2018-05-09,Clear
"Salt Lake City, UT",2018-05-07,Partially cloudy
"Washington, DC",2018-09-03,Partially cloudy
"Nashville, TN",2019-09-14,Partially cloudy
"Houston, TX",2018-06-27,"Rain, Partially cloudy"
"Dallas/Fort Worth, TX",2018-03-15,Partially cloudy
"San Juan, PR",2018-08-17,"Rain, Partially cloudy"
"Hartford, CT",2019-05-10,"Rain, Overcast"
"Las Vegas, NV",2019-12-14,"Rain, Partially cloudy"
"Dallas/Fort Worth, TX",2018-01-07,"Rain, Overcast"
"Houston, TX",2018-05-30,Partially cloudy
"Detroit, MI",2019-01-20,"Snow, Partially cloudy"
"Las Vegas, NV",2019-07-13,Clear
"Chicago, IL",2018-09-10,Partially cloudy
"Seattle, WA",2018-08-09,Clear
"Phoenix, AZ",2018-01-02,Overcast
"Dallas, TX",2018-08-07,Partially cloudy
"Appleton, WI",2018-03-20,Partially cloudy
"Cleveland, OH",2018-07-06,"Rain, Partially cloudy"
"Phoenix, AZ",2019-01-30,Partially cloudy
"Salt Lake City, UT",2018-11-02,"Rain, Overcast"
"Denver, CO",2018-08-22,"Rain, Overcast"
"Seattle, WA",2018-06-13,"Rain, Overcast"
"Phoenix, AZ",2019-07-03,Clear
"New Orleans, LA",2018-08-27,"Rain, Partially cloudy"
"Burbank, CA",2019-10-09,Partially cloudy
"Petersburg, AK",2018-08-13,"Rain, Overcast"
"Washington, DC",2019-09-14,Overcast
"Atlanta, GA",2019-11-01,Clear
"Grand Junction, CO",2018-05-11,Clear
"Chattanooga, TN",2019-11-17,Partially cloudy
"Chicago, IL",2018-04-02,Partially cloudy
"Charlotte, NC",2018-03-18,Partially cloudy
"Portland, OR",2018-04-18,Partially cloudy
"Madison, WI",2019-11-08,Partially cloudy
"New York, NY",2019-04-26,"Rain, Partially cloudy"
"Springfield, MO",2019-01-24,Partially cloudy
"New York, NY",2018-01-18,Snow
"Providence, RI",2019-06-10,"Rain, Partially cloudy"
"San Francisco, CA",2018-11-05,Clear
"Denver, CO",2018-11-21,Clear
"St. Petersburg, FL",2018-01-02,Overcast
"Detroit, MI",2018-05-18,Clear
"Atlanta, GA",2018-09-03,Partially cloudy
"Oklahoma City, OK",2019-09-01,Partially cloudy
"Atlanta, GA",2019-04-24,Clear
"San Francisco, CA",2019-09-14,Clear
"Boston, MA",2018-08-25,Partially cloudy
"St. Louis, MO",2018-12-07,Overcast
"Los Angeles, CA",2018-03-15,Rain
"San Angelo, TX",2019-12-29,Clear
"Scranton/Wilkes-Barre, PA",2019-09-25,Clear
"Albuquerque, NM",2018-02-09,Partially cloudy
"Austin, TX",2018-12-24,Partially cloudy
"Chicago, IL",2018-11-16,Overcast
"Dallas/Fort Worth, TX",2019-08-16,Clear
"New York, NY",2018-01-16,"Snow, Partially cloudy"
"Los Angeles, CA",2019-09-17,Clear
"Orlando, FL",2019-03-11,Clear
"Milwaukee, WI",2019-01-27,"Snow, Partially cloudy"
"Chicago, IL",2019-11-15,Partially cloudy
"Chattanooga, TN",2019-08-03,"Rain, Partially cloudy"
"Dallas/Fort Worth, TX",2019-04-10,Partially cloudy
"Memphis, TN",2019-06-12,Partially cloudy
"Columbia, SC",2019-03-17,Clear
"Atlanta, GA",2019-08-14,"Rain, Partially cloudy"
"Denver, CO",2018-07-20,Partially cloudy
"Oakland, CA",2018-08-26,Partially cloudy
"Denver, CO",2018-10-29,Overcast
"Washington, DC",2019-10-04,Partially cloudy
"Philadelphia, PA",2018-09-17,"Rain, Overcast"
"Atlanta, GA",2018-01-09,Partially cloudy
"Denver, CO",2019-04-02,Partially cloudy
"Shreveport, LA",2019-06-18,Clear
"Atlanta, GA",2019-08-20,Partially cloudy
"Dallas, TX",2019-06-06,"Rain, Partially cloudy"
"Ontario, CA",2018-03-26,Partially cloudy
"New York, NY",2019-02-06,Rain
"Grand Junction, CO",2019-08-23,Clear
"Atlanta, GA",2019-06-18,"Rain, Partially cloudy"
"Nashville, TN",2019-03-23,Partially cloudy
"Washington, DC",2018-12-31,"Rain, Overcast"
"Charlotte, NC",2019-05-06,Partially cloudy
"Chattanooga, TN",2019-06-15,Partially cloudy
"Cincinnati, OH",2019-02-02,Partially cloudy
"Philadelphia, PA",2019-07-12,Partially cloudy
"Dallas, TX",2018-01-14,Clear
"Chicago, IL",2019-01-05,Partially cloudy
"Chicago, IL",2018-06-21,"Rain, Overcast"
"Louisville, KY",2019-06-30,"Rain, Partially cloudy"
"Chicago, IL",2019-09-18,Partially cloudy
"San Diego, CA",2019-04-05,"Rain, Partially cloudy"
"Orlando, FL",2018-03-28,Clear
"San Francisco, CA",2018-02-28,"Rain, Overcast"
