city,date,conditions
"Bend/Redmond, OR",2019-06-09,Clear
"Charlottesville, VA",2018-01-30,Clear
"San Antonio, TX",2019-06-28,"Rain, Partially cloudy"
"Spokane, WA",2019-08-31,Clear
"Chicago, IL",2018-01-07,"Snow, Overcast"
"Indianapolis, IN",2019-10-02,Partially cloudy
"San Antonio, TX",2019-06-20,Partially cloudy
"Los Angeles, CA",2019-07-22,Clear
"Atlanta, GA",2018-03-20,"Rain, Overcast"
"Seattle, WA",2019-08-31,"Rain, Partially cloudy"
"Charlotte, NC",2018-06-16,Partially cloudy
"Denver, CO",2018-10-26,Partially cloudy
"Newark, NJ",2019-03-20,Partially cloudy
"Salt Lake City, UT",2018-03-28,Overcast
"Houston, TX",2019-11-21,Partially cloudy
"Raleigh/Durham, NC",2018-10-03,Partially cloudy
"San Diego, CA",2019-05-19,"Rain, Partially cloudy"
"Washington, DC",2019-11-26,Partially cloudy
"Miami, FL",2019-05-09,"Rain, Partially cloudy"
"Minneapolis, MN",2019-08-13,"Rain, Partially cloudy"
"Denver, CO",2019-03-24,"Rain, Partially cloudy"
"Denver, CO",2019-03-13,"Snow, Overcast"
"Minneapolis, MN",2018-08-01,"Rain, Overcast"
"Raleigh/Durham, NC",2018-11-07,Partially cloudy
"Denver, CO",2018-09-28,Partially cloudy
"Houston, TX",2018-08-02,Clear
"Newport News/Williamsburg, VA",2019-06-06,Partially cloudy
"Chicago, IL",2018-12-22,Overcast
"Waco, TX",2019-09-28,Partially cloudy
"Raleigh/Durham, NC",2019-09-22,Clear
"Orlando, FL",2018-01-20,Clear
"Orlando, FL",2019-04-27,Clear
"Sanford, FL",2019-06-15,Clear
"Seattle, WA",2019-03-10,Clear
"Chicago, IL",2019-02-13,"Snow, Partially cloudy"
"New Bern/Morehead/Beaufort, NC",2019-01-04,"Rain, Partially cloudy"
"Orlando, FL",2019-03-15,Clear
"Salt Lake City, UT",2019-05-07,"Rain, Partially cloudy"
"Chicago, IL",2018-01-11,"Rain, Overcast"
"Phoenix, AZ",2019-01-22,Partially cloudy
"Las Vegas, NV",2019-02-27,Clear
"Seattle, WA",2019-04-23,Overcast
"Boston, MA",2018-07-07,Partially cloudy
"Charlotte, NC",2018-07-08,Clear
"Minneapolis, MN",2019-10-01,"Rain, Overcast"
"Hartford, CT",2019-02-15,"Snow, Partially cloudy"
"Phoenix, AZ",2018-10-11,Overcast
"Salt Lake City, UT",2018-08-17,Partially cloudy
"Denver, CO",2018-11-07,Overcast
"Atlanta, GA",2019-11-21,Clear
"Chicago, IL",2018-06-05,"Rain, Partially cloudy"
"Las Vegas, NV",2019-04-06,Clear
"Detroit, MI",2019-10-24,Partially cloudy
"Houston, TX",2019-06-12,"Rain, Partially cloudy"
"Dallas, TX",2019-09-13,Partially cloudy
"Seattle, WA",2019-10-17,"Rain, Partially cloudy"
"Baltimore, MD",2018-09-08,"Rain, Overcast"
"Cleveland, OH",2019-03-25,Partially cloudy
"Washington, DC",2019-08-12,Partially cloudy
"Los Angeles, CA",2019-07-25,Clear
"Detroit, MI",2019-07-22,"Rain, Partially cloudy"
"Houston, TX",2018-04-21,"Rain, Overcast"
"Minneapolis, MN",2019-01-24,"Snow, Partially cloudy"
"Raleigh/Durham, NC",2019-11-03,Partially cloudy
"Myrtle Beach, SC",2018-09-18,"Rain, Partially cloudy"
"Philadelphia, PA",2018-10-11,"Rain, Overcast"
"Billings, MT",2018-07-11,Clear
"Honolulu, HI",2018-08-27,"Rain, Overcast"
"Albany, GA",2019-08-05,"Rain, Partially cloudy"
"Minneapolis, MN",2019-08-27,"Rain, Partially cloudy"
"Dallas/Fort Worth, TX",2018-08-13,"Rain, Overcast"
"Miami, FL",2018-09-19,"Rain, Partially cloudy"
"Sacramento, CA",2018-04-04,Clear
"Austin, TX",2018-11-19,"Rain, Overcast"
"San Diego, CA",2018-01-16,Overcast
"San Francisco, CA",2019-06-08,Partially cloudy
"Detroit, MI",2018-07-27,"Rain, Partially cloudy"
"Boston, MA",2018-12-19,Partially cloudy
"Chicago, IL",2019-10-10,"Rain, Partially cloudy"
"Norfolk, VA",2019-03-21,"Rain, Overcast"
"Charlotte, NC",2019-04-18,Partially cloudy
"Indianapolis, IN",2018-04-17,Partially cloudy
